carbs_g,variant,weight_kg,walk,basal_mgdL,peak_mgdL,t_peak_min,iauc_mgdL_min,t_baseline_min
20,normal,50,0,91.76,120.119421269271,75,3686.99713931482,200
20,normal,50,1,91.76,103.191044719546,25,392.520052799959,50
20,normal,70,0,91.76,112.345725628076,80,2781.29773266961,195
20,normal,70,1,91.76,98.7897842657015,25,167.732938708906,35
20,normal,90,0,91.76,107.92691218898,80,2230.60355697117,190
20,normal,90,1,91.76,96.903391161839,20,95.6892718316109,25
20,normal,110,0,91.76,105.065642575509,80,1860.92840023286,185
20,normal,110,1,91.76,95.734496285634,20,63.374634049143,25
20,low_si,50,0,91.76,126.147402934478,95,5665.70767988823,240
20,low_si,50,1,91.76,103.879001808291,30,499.023045834156,55
20,low_si,70,0,91.76,117.237446819401,100,4318.7384185513,240
20,low_si,70,1,91.76,99.4066372789669,25,196.830692115216,40
20,low_si,90,0,91.76,112.189788254025,100,3521.92861773018,240
20,low_si,90,1,91.76,97.3344443402731,20,112.264111429388,30
20,low_si,110,0,91.76,108.927709895258,105,2996.4702728475,240
20,low_si,110,1,91.76,96.1627494464607,20,74.8678219791208,25
20,t2d,50,0,164.18,220.829735906845,130,9696.16800514804,240
20,t2d,50,1,164.18,169.728364376994,25,173.66204122479,35
20,t2d,70,0,164.18,204.82828847785,130,7004.71534185593,240
20,t2d,70,1,164.18,167.353145162755,20,48.9295676390452,25
20,t2d,90,0,164.18,195.779429055009,130,5461.91758052626,240
20,t2d,90,1,164.18,166.244426873138,20,26.4570760597259,25
20,t2d,110,0,164.18,189.959131131419,135,4462.0877982334,240
20,t2d,110,1,164.18,165.742058705924,15,17.8006613942865,20
40,normal,50,0,91.76,145.526591248875,70,6195.66810451257,195
40,normal,50,1,91.76,122.81599577612,40,3288.78444266768,200
40,normal,70,0,91.76,131.294573938109,70,4870.28702450827,200
40,normal,70,1,91.76,110.889615359631,30,1339.54260071422,95
40,normal,90,0,91.76,123.075081914269,75,4012.32454799808,200
40,normal,90,1,91.76,105.062743192735,30,534.174359164554,60
40,normal,110,0,91.76,117.670977307561,75,3410.09020017915,200
40,normal,110,1,91.76,101.792988022148,25,303.916410353073,45
40,low_si,50,0,91.76,155.514419002221,85,9560.98288996068,240
40,low_si,50,1,91.76,124.773870901326,40,4937.5623410475,240
40,low_si,70,0,91.76,139.060631581862,90,7484.26514992825,240
40,low_si,70,1,91.76,112.142621526117,35,2322.48522044739,240
40,low_si,90,0,91.76,129.537102933396,95,6159.95536229741,240
40,low_si,90,1,91.76,105.946845527398,30,771.67206948594,70
40,low_si,110,0,91.76,123.340599307743,95,5249.12051546217,240
40,low_si,110,1,91.76,102.423767470524,25,362.445055870358,50
40,t2d,50,0,164.18,274.095018241865,125,18235.0286320317,240
40,t2d,50,1,164.18,207.502190015421,115,8086.60031755781,240
40,t2d,70,0,164.18,244.140717617402,125,13525.1531783969,240
40,t2d,70,1,164.18,179.835484929916,65,3167.44941445358,240
40,t2d,90,0,164.18,226.953055932376,130,10713.0165605824,240
40,t2d,90,1,164.18,171.283178818588,30,353.481144660498,55
40,t2d,110,0,164.18,215.778167465831,130,8851.74114849647,240
40,t2d,110,1,164.18,168.716306267457,25,111.286980853288,30
60,normal,50,0,91.76,168.723070044991,65,8026.57167275936,180
60,normal,50,1,91.76,145.10870702905,45,5966.94895658872,220
60,normal,70,0,91.76,148.936185937088,70,6490.4607870229,190
60,normal,70,1,91.76,125.957835602803,40,3722.68142108627,210
60,normal,90,0,91.76,137.338685806177,70,5453.3398901287,195
60,normal,90,1,91.76,115.781717695266,35,2197.91338531754,145
60,normal,110,0,91.76,129.639866588042,75,4702.90621688465,200
60,normal,110,1,91.76,109.698928511335,30,1091.23471325622,85
60,low_si,50,0,91.76,182.452523491793,80,12380.3787086173,240
60,low_si,50,1,91.76,149.268624480087,55,8802.87748406091,240
60,low_si,70,0,91.76,159.50184019344,85,10023.1558678719,240
60,low_si,70,1,91.76,128.189890608096,45,5544.66729888711,240
60,low_si,90,0,91.76,146.001557775015,90,8395.63104820917,240
60,low_si,90,1,91.76,117.179195403968,40,3448.57895935428,240
60,low_si,110,0,91.76,137.1345718777,90,7223.73798744207,240
60,low_si,110,1,91.76,110.779496491692,35,2003.77561769548,240
60,t2d,50,0,164.18,323.392035230398,120,25390.6029960157,240
60,t2d,50,1,164.18,255.502348746649,115,16023.5112350222,240
60,t2d,70,0,164.18,281.357630270109,125,19341.4356664774,240
60,t2d,70,1,164.18,214.469414535598,115,9272.64197735878,240
60,t2d,90,0,164.18,256.795040120298,125,15542.8446988164,240
60,t2d,90,1,164.18,191.133521719977,110,5256.24868937293,240
60,t2d,110,0,164.18,240.658818789197,130,12961.2330291406,240
60,t2d,110,1,164.18,177.532488096848,50,2566.53771182981,240
80,normal,50,0,91.76,190.309289625371,60,9451.22537799782,170
80,normal,50,1,91.76,167.297028223381,45,7991.09452030847,210
80,normal,70,0,91.76,165.547844006624,65,7794.00427249856,185
80,normal,70,1,91.76,141.888252950382,45,5630.99054623944,220
80,normal,90,0,91.76,150.820142650236,65,6648.8812585504,190
80,normal,90,1,91.76,127.699769790463,40,3955.58978837493,210
80,normal,110,0,91.76,141.100348773934,70,5800.69294083512,195
80,normal,110,1,91.76,118.888984148158,35,2707.90050835667,175
80,low_si,50,0,91.76,207.225778130385,75,14399.1498877078,240
80,low_si,50,1,91.76,174.362230329696,60,11831.7016346553,240
80,low_si,70,0,91.76,178.753893176114,80,12032.9764783024,240
80,low_si,70,1,91.76,145.711353550494,50,8304.64280564068,240
80,low_si,90,0,91.76,161.689643855784,85,10270.7166190722,240
80,low_si,90,1,91.76,130.102390504766,45,5873.92847532442,240
80,low_si,110,0,91.76,150.349336035366,85,8940.84199508147,240
80,low_si,110,1,91.76,120.634752923836,40,4137.95695411955,240
80,t2d,50,0,164.18,369.066010854466,115,31235.6153094441,240
80,t2d,50,1,164.18,301.448251197395,115,23042.1019871852,240
80,t2d,70,0,164.18,316.592383060864,120,24451.4720602933,240
80,t2d,70,1,164.18,248.761433479204,115,14943.7142166281,240
80,t2d,90,0,164.18,285.352444986889,125,19943.8508369967,240
80,t2d,90,1,164.18,218.325218516563,115,9924.34615365923,240
80,t2d,110,0,164.18,264.719484332553,125,16785.7645248061,240
80,t2d,110,1,164.18,198.586621115747,115,6553.52749800829,240
100,normal,50,0,91.76,210.740568544415,55,10621.3646187081,165
100,normal,50,1,91.76,188.820302939227,45,9598.65426183806,205
100,normal,70,0,91.76,181.301978102755,60,8878.80270291201,175
100,normal,70,1,91.76,157.864660116027,45,7186.53570058759,215
100,normal,90,0,91.76,163.761526929521,65,7661.75816787188,185
100,normal,90,1,91.76,140.093584606261,45,5438.33512590819,220
100,normal,110,0,91.76,152.027962526175,65,6747.56898605041,190
100,normal,110,1,91.76,128.807091922155,40,4100.87725548564,215
100,low_si,50,0,91.76,230.465955781397,70,15877.0759819092,240
100,low_si,50,1,91.76,198.669149831936,60,14166.2547593133,240
100,low_si,70,0,91.76,196.870678052228,75,13614.0524359078,240
100,low_si,70,1,91.76,163.686474718198,55,10627.6769907776,240
100,low_si,90,0,91.76,176.669589480631,80,11832.5864181515,240
100,low_si,90,1,91.76,143.738243919397,50,8020.2761670078,240
100,low_si,110,0,91.76,163.07152121989,85,10424.9174138583,240
100,low_si,110,1,91.76,131.318371432088,45,6080.48796027506,240
100,t2d,50,0,164.18,411.404842415458,110,35937.7512923396,240
100,t2d,50,1,164.18,345.329914105904,110,29092.4174124966,240
100,t2d,70,0,164.18,349.917261347087,115,28882.1444380959,240
100,t2d,70,1,164.18,282.034473981821,115,20151.6629232901,240
100,t2d,90,0,164.18,312.776953310694,120,23917.9743787607,240
100,t2d,90,1,164.18,244.998774380422,115,14335.7754664023,240
100,t2d,110,0,164.18,287.879626412489,125,20322.6593867063,240
100,t2d,110,1,164.18,220.77325197777,115,10336.3434595752,240
120,normal,50,0,91.76,230.24838165454,50,11634.0587577363,160
120,normal,50,1,91.76,209.609765816275,45,10947.4741509068,195
120,normal,70,0,91.76,196.187239763818,55,9806.61813389037,170
120,normal,70,1,91.76,173.519880001534,45,8484.57517312055,210
120,normal,90,0,91.76,176.111752213726,60,8537.48899070349,175
120,normal,90,1,91.76,152.574307409135,45,6700.87534249046,215
120,normal,110,0,91.76,162.616546520102,65,7576.03362388465,185
120,normal,110,1,91.76,138.949417184231,45,5313.41280487415,220
120,low_si,50,0,91.76,252.581918173045,65,17014.7484872628,240
120,low_si,50,1,91.76,222.042205710522,55,15973.3003135165,240
120,low_si,70,0,91.76,214.031730604178,70,14866.71143371,240
120,low_si,70,1,91.76,181.439648732696,60,12562.8472443324,240
120,low_si,90,0,91.76,190.911887716263,75,13128.3464133719,240
120,low_si,90,1,91.76,157.7055033677,55,9899.15572896528,240
120,low_si,110,0,91.76,175.333987930954,80,11702.2620809339,240
120,low_si,110,1,91.76,142.481236161198,50,7836.46716734,240
120,t2d,50,0,164.18,450.58771634885,105,39722.9366400688,240
120,t2d,50,1,164.18,386.920117671079,105,34205.5512080091,240
120,t2d,70,0,164.18,381.417920802222,115,32686.5363756027,240
120,t2d,70,1,164.18,314.21144439793,110,24869.693945371,240
120,t2d,90,0,164.18,338.960869035252,115,27477.944341606,240
120,t2d,90,1,164.18,271.065853071767,115,18469.2255005961,240
120,t2d,110,0,164.18,310.334976238816,120,23574.0700894472,240
120,t2d,110,1,164.18,242.597893857908,115,13945.9419366479,240
